,Фонетика и произношение,Unnamed: 1,Артикли,Unnamed: 3,Существительные,Unnamed: 5,Лексика,Unnamed: 7,Предлоги,Unnamed: 9,Местоимения,Unnamed: 11,Синтаксис,Unnamed: 13,Глаголы,Unnamed: 15,Числительные,Unnamed: 17,Союзы,Unnamed: 19,Прилагательные,Unnamed: 21,Словообразование,Unnamed: 23,Навыки и умения,Unnamed: 25
0,Интонация,1.0,Определённые артикли,101.0,Сильное склонение существительных,203.0,Молодёжь и хобби,301.0,Предлоги с управлением Dativ,401.0,Личные местоимения,501.0,Сложносочинённые бессоюзные предложения,602.0,Partizip,712.0,Количественные числительные,801.0,Сочинительные союзы,901.0,Сильное склонение прилагательных,1001.0,Словообразование существительных,1101.0,Понимание основного содержания прослушанного текста,1201
1,Ударение,2.0,Неопределённые артикли,102.0,Слабое склонение существительных,204.0,Повседневная жизнь,302.0,Предлоги с управлением Akkusativ,402.0,Вопросительные местоимения,502.0,Прямой порядок слов,605.0,Konjunktiv,714.0,Порядковые числительные,802.0,Подчинительные союзы,902.0,Слабое склонение прилагательных,1002.0,Словообразование глаголов,1102.0,Выделение информации в прослушанном тексте,1202
2,Произношение,3.0,Нулевой артикль,103.0,Женское склонение существительных,205.0,Город и деревня,303.0,Предлоги с управлением Genitiv,403.0,Притяжательные местоимения,503.0,Обратный порядок слов,606.0,Imperativ,715.0,Дробные числительные,803.0,Местоименные наречия,903.0,Смешанное склонение прилагательных,1003.0,Словообразование прилагательных и наречий,1103.0,Полное понимание устной речи,1203
3,Временное значение предлогов,4.0,,,Смешанное склонение существительных,206.0,"Семья, дружба",304.0,Предлоги с двойным управлением,404.0,Указательные местоимения,504.0,Порядок слов в придаточных предложениях,607.0,Präsens,716.0,Время,804.0,Парные союзы,904.0,Степени сравнения,1004.0,,,Понимание основного содержания прочитанного текста,1204
4,"Даты, года",5.0,,,Склонение существительных во множественном числе,207.0,Здоровье и медицина,305.0,Временное значение предлогов,405.0,Относительные местоимения,505.0,Порядок слов в вопросительных предложениях,608.0,Präteritum,717.0,"Даты, года",805.0,,,Субстантивированные прилагательные,1005.0,,,Понимание структурно-смысловых связей в прочитанном тексте,1205
5,Время,6.0,,,,,Родина и страны изучаемого языка,306.0,,,Отрицательные местоимения,506.0,Порядок слов в отрицательных предложениях,609.0,Perfekt,718.0,,,,,Несклоняемые прилагательные,1006.0,,,Полное понимание информации в прочитанном тексте,1206
6,Парные союзы,7.0,,,,,Путешествия,307.0,,,Неопределённые местоимения (в т.ч. неопределённо-личное man),507.0,Порядок слов в предложениях с повелительным наклонением,610.0,Plusquamperfekt,719.0,,,,,,,,,Грамматические навыки употребления в речи изученных морфологических форм ,1207
7,Несклоняемые прилагательные,8.0,,,,,Профессии,308.0,,,Безличное местоимение es,508.0,Знаки препинания в немецком языке,611.0,"Futur (1, 2)",720.0,,,,,,,,,Лексико-грамматическое образование родственных слов при помощи аффиксации,1208
8,,,,,,,Природа и экология,309.0,,,Возвратное местоимение sich,509.0,,,Управление глаголов,721.0,,,,,,,,,Лексико-грамматические навыки употребления в речи лексических единиц,1209
9,,,,,,,Научно-технический прогресс,310.0,,,,,,,Passiv,722.0,,,,,,,,,Умение создавать электронное письмо личного характера,1210
10,,,,,,,"Наука, культура",311.0,,,,,,,Инфинитивный оборот,723.0,,,,,,,,,Написание развёрнутого письменного высказывания с элементами рассуждения на основе таблицы/диаграммы,1211
11,,,,,,,Образование,312.0,,,,,,,,,,,,,,,,,Чтение текста вслух,1212
12,,,,,,,Иностранные языки,313.0,,,,,,,,,,,,,,,,,Участие в диалоге-расспросе - задавать вопросы,1213
13,,,,,,,Праздники,314.0,,,,,,,,,,,,,,,,,Участие в диалоге-расспросе - отвечать на вопросы интервьюера,1214
14,,,,,,,,,,,,,,,,,,,,,,,,,Умение продуцировать связное тематическое монологическое высказывание с элементами рассуждения ,1215
